Dmel_CG17759	GalPha49b	K04634
Dmel_CG14032	Cyp4ac1	K00517
Dmel_CG15077	Cyp12b2	K00517
Dmel_CG15807	Cyp313a5	K00517
Dmel_CG1644	Cyp6t1	K00517
Dmel_CG17453	Cyp317a1	K00517
Dmel_CG17577	Cyp9h1	K00517
Dmel_CG1786	Cyp318a1	K00517
Dmel_CG17970	Cyp4ac2	K00517
Dmel_CG1829	Cyp6v1	K00517
Dmel_CG18559	Cyp309a2	K00517
Dmel_CG1895	Cyp28c1	K00517
Dmel_CG1944	Cyp4p2	K00517
Dmel_CG2060	Cyp4e2	K00517
Dmel_CG2062	Cyp4e1	K00517
Dmel_CG2110	Cyp4ad1	K00517
Dmel_CG2397	Cyp6a13	K00517
Dmel_CG3360	Cyp313a1	K00517
Dmel_CG3466	Cyp4d2	K00517
Dmel_CG3540	Cyp4d14	K00517
Dmel_CG3616	Cyp9c1	K00517
Dmel_CG3656	Cyp4d1	K00517
Dmel_CG3972	Cyp4g1	K00517
Dmel_CG4105	Cyp4e3	K00517
Dmel_CG4163	Cyp303a1	K00517
Dmel_CG4321	Cyp4d8	K00517
Dmel_CG4373	Cyp6d2	K00517
Dmel_CG4486	Cyp9b2	K00517
Dmel_CG5137	Cyp312a1	K00517
Dmel_CG6042	Cyp12a4	K00517
Dmel_CG6081	Cyp28d2	K00517
Dmel_CG6730	Cyp4d21	K00517
Dmel_CG6802	Cyp313a4	K00517
Dmel_CG7241	Cyp304a1	K00517
Dmel_CG8302	Cyp4aa1	K00517
Dmel_CG8345	Cyp6w1	K00517
Dmel_CG8453	Cyp6g1	K00517
Dmel_CG8457	Cyp6t3	K00517
Dmel_CG8540	Cyp316a1	K00517
Dmel_CG8587	Cyp301a1	K00517
Dmel_CG8859	Cyp6g2	K00517
Dmel_CG8864	Cyp28a5	K00517
Dmel_CG9081	Cyp4s3	K00517
Dmel_CG9438	Cyp6a2	K00517
Dmel_CG9716	Cyp313b1	K00517
Dmel_CG7642	Ry	K00106
Dmel_CG7171	Uro	K00365
Dmel_CG3001	Hex-a	K00844
Dmel_CG32849	Hex-t2	K00844
Dmel_CG33102	Hex-t1	K00844
Dmel_CG8094	Hex-c	K00844
Dmel_CG11466	Cyp9f2	K07424
Dmel_CG10045	GstD1	K00799
Dmel_CG10091	GstD9	K00799
Dmel_CG11512	GstD4	K00799
Dmel_CG12242	GstD5	K00799
Dmel_CG1742	MgsTl	K00799
Dmel_CG17522	GstE10	K00799
Dmel_CG17523	GstE2	K00799
Dmel_CG17524	GstE3	K00799
Dmel_CG17525	GstE4	K00799
Dmel_CG17527	GstE5	K00799
Dmel_CG17530	GstE6	K00799
Dmel_CG17531	GstE7	K00799
Dmel_CG17534	GstE9	K00799
Dmel_CG18548	GstD10	K00799
Dmel_CG33546	GfzF	K00799
Dmel_CG4181	GstD2	K00799
Dmel_CG4371	GstD7	K00799
Dmel_CG4381	GstD3	K00799
Dmel_CG4423	GstD6	K00799
Dmel_CG5164	GstE1	K00799
Dmel_CG6781	Se	K00310
Dmel_CG8938	GstS1	K00799
Dmel_CG11140	AldH-iii	K00129
Dmel_CG6598	Fdh	K00121
Dmel_CG3481	Adh	K00001
Dmel_CG11012	Ugt37a1	K00699
Dmel_CG13270	Ugt36ba	K00699
Dmel_CG13271	Ugt36bb	K00699
Dmel_CG15902	Ugt86dj	K00699
Dmel_CG17200	Ugt86dg	K00699
Dmel_CG17932	Ugt36bc	K00699
Dmel_CG4414	Ugt58fa	K00699
Dmel_CG4772	Ugt86dh	K00699
Dmel_CG6633	Ugt86dd	K00699
Dmel_CG6644	Ugt35a	K00699
Dmel_CG6649	Ugt35b	K00699
Dmel_CG6653	Ugt86de	K00699
Dmel_CG6658	Ugt86di	K00699
Dmel_CG8652	Ugt37c1	K00699
Dmel_CG9481	Ugt37b1	K00699
Dmel_CG11466	Cyp9f2	K07424
Dmel_CG3006	Fmo-1	K00485
Dmel_CG3174	Fmo-2	K00485
Dmel_CG10045	GstD1	K00799
Dmel_CG10091	GstD9	K00799
Dmel_CG11512	GstD4	K00799
Dmel_CG12242	GstD5	K00799
Dmel_CG1742	MgsTl	K00799
Dmel_CG17522	GstE10	K00799
Dmel_CG17523	GstE2	K00799
Dmel_CG17524	GstE3	K00799
Dmel_CG17525	GstE4	K00799
Dmel_CG17527	GstE5	K00799
Dmel_CG17530	GstE6	K00799
Dmel_CG17531	GstE7	K00799
Dmel_CG17534	GstE9	K00799
Dmel_CG18548	GstD10	K00799
Dmel_CG33546	GfzF	K00799
Dmel_CG4181	GstD2	K00799
Dmel_CG4371	GstD7	K00799
Dmel_CG4381	GstD3	K00799
Dmel_CG4423	GstD6	K00799
Dmel_CG5164	GstE1	K00799
Dmel_CG6781	Se	K00310
Dmel_CG8938	GstS1	K00799
Dmel_CG6598	Fdh	K00121
Dmel_CG3481	Adh	K00001
Dmel_CG11140	AldH-iii	K00129
Dmel_CG11012	Ugt37a1	K00699
Dmel_CG13270	Ugt36ba	K00699
Dmel_CG13271	Ugt36bb	K00699
Dmel_CG15902	Ugt86dj	K00699
Dmel_CG17200	Ugt86dg	K00699
Dmel_CG17932	Ugt36bc	K00699
Dmel_CG4414	Ugt58fa	K00699
Dmel_CG4772	Ugt86dh	K00699
Dmel_CG6633	Ugt86dd	K00699
Dmel_CG6644	Ugt35a	K00699
Dmel_CG6649	Ugt35b	K00699
Dmel_CG6653	Ugt86de	K00699
Dmel_CG6658	Ugt86di	K00699
Dmel_CG8652	Ugt37c1	K00699
Dmel_CG9481	Ugt37b1	K00699
Dmel_CG1799	Ras	K00088
Dmel_CG9242	Bur	K01951
Dmel_CG7642	Ry	K00106
Dmel_CG17148	Est-p	K01044
Dmel_CG6917	Est-6	K01044
Dmel_CG8424	JheDup	K01044
Dmel_CG9858	Clt	K01044
Dmel_CG11012	Ugt37a1	K00699
Dmel_CG13270	Ugt36ba	K00699
Dmel_CG13271	Ugt36bb	K00699
Dmel_CG15902	Ugt86dj	K00699
Dmel_CG17200	Ugt86dg	K00699
Dmel_CG17932	Ugt36bc	K00699
Dmel_CG4414	Ugt58fa	K00699
Dmel_CG4772	Ugt86dh	K00699
Dmel_CG6633	Ugt86dd	K00699
Dmel_CG6644	Ugt35a	K00699
Dmel_CG6649	Ugt35b	K00699
Dmel_CG6653	Ugt86de	K00699
Dmel_CG6658	Ugt86di	K00699
Dmel_CG8652	Ugt37c1	K00699
Dmel_CG9481	Ugt37b1	K00699
Dmel_CG11466	Cyp9f2	K07424
Dmel_CG2194	Su(R)	K00207
Dmel_CG1411	CrmP	K01464
Dmel_CG3027	Pyd3	K01431
Dmel_CG3593	R-l	K13421
Dmel_CG1554	RpiI215	K03006
Dmel_CG3180	RpiI140	K03010
Dmel_CG7885	RpiI33	K03011
Dmel_CG33520	Rpb4	K03012
Dmel_CG11979	Rpb5	K03013
Dmel_CG1163	RpiI18	K03014
Dmel_CG31155	Rpb7	K03015
Dmel_CG11246	Rpb8	K03016
Dmel_CG3284	RpiI15	K03017
Dmel_CG13628	Rpb10	K03007
Dmel_CG6840	Rpb11	K03008
Dmel_CG8344	RpiIi128	K03021
Dmel_CG10685	L(2)37cg	K03020
Dmel_CG10122	Rpi1	K02999
Dmel_CG4033	Rpi135	K03002
Dmel_CG13418	Rpi12	K03000
Dmel_CG18009	Trf2	K03120
Dmel_CG7562	Trf	K03120
Dmel_CG9874	Tbp	K03120
Dmel_CG17603	Taf1	K03125
Dmel_CG6711	Taf2	K03128
Dmel_CG5444	Taf4	K03129
Dmel_CG6577	Can	K03130
Dmel_CG7704	Taf5	K03130
Dmel_CG10390	Mia	K03131
Dmel_CG32211	Taf6	K03131
Dmel_CG2670	Taf7	K03132
Dmel_CG6474	E(y)1	K03133
Dmel_CG8816	Ak6	K03133
Dmel_CG2859	Taf10	K03134
Dmel_CG3069	Taf10b	K03134
Dmel_CG4079	Taf11	K03135
Dmel_CG17358	Taf12	K03126
Dmel_CG10756	Taf13	K03127
Dmel_CG5193	TfiIb	K03124
Dmel_CG5930	TfiIa-l	K03122
Dmel_CG11639	TfiIa-s-2	K03123
Dmel_CG5163	TfiIa-s	K03123
Dmel_CG6538	TfiIfbeta	K03139
Dmel_CG1276	TfiIebeta	K03137
Dmel_CG8151	Tfb1	K03141
Dmel_CG11115	Ssl1	K03142
Dmel_CG5041	Tfb4	K03143
Dmel_CG7764	Mrn	K03144
Dmel_CG7269	Hel25e	K12812
Dmel_CG10689	L(2)37cb	K12813
Dmel_CG32604	L(1)g0007	K12815
Dmel_CG6011	Prp18	K12817
Dmel_CG8241	Pea	K12818
Dmel_CG1420	Slu7	K12819
Dmel_CG5352	Smb	K11086
Dmel_CG10753	SnrNp69d	K11087
Dmel_CG1249	SnrNp2	K11096
Dmel_CG8427	Smd3	K11088
Dmel_CG16792	DebB	K11098
Dmel_CG9742	Smg	K11099
Dmel_CG8749	SnrNp70k	K11093
Dmel_CG5454	SnrNp-u1	K11095
Dmel_CG10279	Rm62	K12823
Dmel_CG1406	U2a	K11092
Dmel_CG2925	Noi	K12827
Dmel_CG3780	Spx	K12831
Dmel_CG3582	U2aF38	K12836
Dmel_CG9998	U2aF50	K12837
Dmel_CG12085	Puf68	K12838
Dmel_CG17540	Spf45	K12840
Dmel_CG33522	ScaF6	K12841
Dmel_CG31184	Lsm3	K12622
Dmel_CG13277	Lsm7	K12626
Dmel_CG3949	HoiP	K12845
Dmel_CG18426	Ytr	K12846
Dmel_CG30342	Prp38	K12849
Dmel_CG8877	Prp8	K12856
Dmel_CG3058	Dim1	K12859
Dmel_CG5519	Prp19	K10599
Dmel_CG1796	TanGo4	K12862
Dmel_CG12135	C12.1	K12863
Dmel_CG18743	Hsp70ab	K03283
Dmel_CG31359	Hsp70bb	K03283
Dmel_CG31366	Hsp70aa	K03283
Dmel_CG31449	Hsp70ba	K03283
Dmel_CG4264	Hsc70-4	K03283
Dmel_CG5436	Hsp68	K03283
Dmel_CG5834	Hsp70bbb	K03283
Dmel_CG6489	Hsp70bc	K03283
Dmel_CG7756	Hsc70-2	K03283
Dmel_CG8937	Hsc70-1	K03283
Dmel_CG8264	Bx42	K06063
Dmel_CG3193	Crn	K12869
Dmel_CG13892	CypL	K12733
Dmel_CG4886	Cyp33	K09564
Dmel_CG1639	L(1)10bb	K12873
Dmel_CG10473	Hkl	K12875
Dmel_CG7483	Eif4aiii	K13025
Dmel_CG8781	Tsu	K12876
Dmel_CG9401	MagO	K12877
Dmel_CG2031	Hpr1	K12878
Dmel_CG31671	Tho2	K12879
Dmel_CG9615	Tex	K12880
Dmel_CG1101	Aly	K12881
Dmel_CG7035	Cbp80	K12882
Dmel_CG12357	Cbp20	K12883
Dmel_CG12749	Hrb87f	K12741
Dmel_CG9983	Hrb98de	K12741
Dmel_CG13425	Bl	K12886
Dmel_CG6987	Sf2	K12890
Dmel_CG5442	Sc35	K12891
Dmel_CG10851	B52	K12893
Dmel_CG10203	Xl6	K12896
Dmel_CG10128	Tra2	K12897
Dmel_CG5920	Sop	K02981
Dmel_CG6779	Rps3	K02985
Dmel_CG2168	Rps3a	K02984
Dmel_CG11276	Rps4	K02987
Dmel_CG8922	Rps5a	K02989
Dmel_CG10944	Rps6	K02991
Dmel_CG1883	Rps7	K02993
Dmel_CG7808	Rps8	K02995
Dmel_CG3395	Rps9	K02997
Dmel_CG12275	Rps10a	K02947
Dmel_CG14206	Rps10b	K02947
Dmel_CG8857	Rps11	K02949
Dmel_CG11271	Rps12	K02951
Dmel_CG13389	Rps13	K02953
Dmel_CG1524	Rps14a	K02955
Dmel_CG1527	Rps14b	K02955
Dmel_CG8332	Rps15	K02958
Dmel_CG12324	Rps15ab	K02957
Dmel_CG2033	Rps15aa	K02957
Dmel_CG4046	Rps16	K02960
Dmel_CG3922	Rps17	K02962
Dmel_CG8900	Rps18	K02964
Dmel_CG4464	Rps19a	K02966
Dmel_CG5338	Rps19b	K02966
Dmel_CG15693	Rps20	K02969
Dmel_CG2986	Oho23b	K02971
Dmel_CG8415	Rps23	K02973
Dmel_CG3751	Rps24	K02974
Dmel_CG6684	Rps25	K02975
Dmel_CG10305	Rps26	K02976
Dmel_CG10423	Rps27	K02978
Dmel_CG5271	Rps27a	K02977
Dmel_CG15527	Rps28a	K02979
Dmel_CG2998	Rps28b	K02979
Dmel_CG8495	Rps29	K02980
Dmel_CG15697	Rps30	K02983
Dmel_CG14792	Sta	K02998
Dmel_CG10603	MrpL13	K02871
Dmel_CG4863	Rpl3	K02925
Dmel_CG5502	Rpl4	K02930
Dmel_CG17489	Rpl5	K02932
Dmel_CG11522	Rpl6	K02934
Dmel_CG4897	Rpl7	K02937
Dmel_CG3314	Rpl7a	K02936
Dmel_CG1263	Rpl8	K02938
Dmel_CG6141	Rpl9	K02940
Dmel_CG17521	Qm	K02866
Dmel_CG3843	Rpl10aa	K02865
Dmel_CG7283	Rpl10ab	K02865
Dmel_CG7726	Rpl11	K02868
Dmel_CG3195	Rpl12	K02870
Dmel_CG4651	Rpl13	K02873
Dmel_CG1475	Rpl13a	K02872
Dmel_CG6253	Rpl14	K02875
Dmel_CG17420	Rpl15	K02877
Dmel_CG3203	Rpl17	K02880
Dmel_CG8615	Rpl18	K02883
Dmel_CG6510	Rpl18a	K02882
Dmel_CG2746	Rpl19	K02885
Dmel_CG12775	Rpl21	K02889
Dmel_CG7434	Rpl22	K02891
Dmel_CG3661	Rpl23	K02894
Dmel_CG7977	Rpl23a	K02893
Dmel_CG9282	Rpl24	K02896
Dmel_CG6846	Rpl26	K02898
Dmel_CG4759	Rpl27	K02901
Dmel_CG15442	Rpl27a	K02900
Dmel_CG12740	Rpl28	K02903
Dmel_CG10071	Rpl29	K02905
Dmel_CG10652	Rpl30	K02908
Dmel_CG1821	Rpl31	K02910
Dmel_CG7939	Rpl32	K02912
Dmel_CG6090	Rpl34a	K02915
Dmel_CG9354	Rpl34b	K02915
Dmel_CG4111	Rpl35	K02918
Dmel_CG2099	Rpl35a	K02917
Dmel_CG7622	Rpl36	K02920
Dmel_CG9091	Rpl37a	K02922
Dmel_CG9873	Rpl37b	K02922
Dmel_CG5827	Rpl37a	K02921
Dmel_CG18001	Rpl38	K02923
Dmel_CG3997	Rpl39	K02924
Dmel_CG2960	Rpl40	K02927
Dmel_CG30425	Rpl41	K02928
Dmel_CG7424	Rpl36a	K02929
Dmel_CG7490	RplP0	K02941
Dmel_CG4087	RplP1	K02942
Dmel_CG4918	RplP2	K02943
Dmel_CG10506	AatS-gln	K01886
Dmel_CG13391	AatS-ala	K01872
Dmel_CG3821	AatS-asp	K01876
Dmel_CG10687	AatS-asn	K01893
Dmel_CG6778	AatS-gly	K01880
Dmel_CG5353	AatS-thr	K01868
Dmel_CG4938	AatS-ser	K01875
Dmel_CG8431	AatS-cys	K01883
Dmel_CG31322	AatS-met	K01874
Dmel_CG4062	AatS-val	K01873
Dmel_CG7479	AatS-leu	K01869
Dmel_CG11471	AatS-ile	K01870
Dmel_CG12141	AatS-lys	K04567
Dmel_CG9020	AatS-arg	K01887
Dmel_CG12186	AatS-pro	K01881
Dmel_CG6335	AatS-his	K01892
Dmel_CG13348	AatS-phe	K01889
Dmel_CG4561	AatS-tyr	K01866
Dmel_CG9735	AatS-trp	K01867
Dmel_CG32763	L(1)g0045	K01164
Dmel_CG33931	Rpp20	K01164
Dmel_CG11606	Rpp30	K03539
Dmel_CG3298	Jhi-1	K00784
Dmel_CG1404	Ran	K07936
Dmel_CG7815	Ran-like	K07936
Dmel_CG12234	RanBp21	K14289
Dmel_CG13387	Emb	K14290
Dmel_CG8069	PhaX	K14291
Dmel_CG7035	Cbp80	K12882
Dmel_CG12357	Cbp20	K12883
Dmel_CG4924	IclN	K05019
Dmel_CG3730	CsuL	K02516
Dmel_CG31241	TatL	K14292
Dmel_CG2637	Fs(2)ket	K14293
Dmel_CG3333	Nop60b	K11131
Dmel_CG5258	Nhp2	K11129
Dmel_CG3460	Nmd3	K07562
Dmel_CG30176	WibG	K14294
Dmel_CG8274	MtoR	K09291
Dmel_CG4453	Nup153	K14296
Dmel_CG10198	Nup98	K14297
Dmel_CG9862	Rae1	K14298
Dmel_CG6773	Sec13	K14004
Dmel_CG8722	Nup44a	K14299
Dmel_CG6958	Nup133	K14300
Dmel_CG6743	Nup107	K14301
Dmel_CG4738	Nup160	K14303
Dmel_CG5733	Nup75	K14304
Dmel_CG6251	Nup62	K14306
Dmel_CG7360	Nup58	K14307
Dmel_CG4579	Nup154	K14312
Dmel_CG7897	Gp210	K14314
Dmel_CG3820	Nup214	K14317
Dmel_CG6819	Mbo	K14318
Dmel_CG11856	Nup358	K12172
Dmel_CG9999	RanGap	K14319
Dmel_CG3018	Lwr	K10577
Dmel_CG4494	Smt3	K12160
Dmel_CG6539	Gem3	K13131
Dmel_CG3957	Wmd	K13137
Dmel_CG12131	AdaM	K03245
Dmel_CG8882	TriP1	K03246
Dmel_CG9124	Eif-3p40	K03247
Dmel_CG9677	Int6	K03250
Dmel_CG10161	Eif-3p66	K03251
Dmel_CG4954	Eif3-s8	K03252
Dmel_CG4878	Eif3-s9	K03253
Dmel_CG9805	Eif3-s10	K03254
Dmel_CG8053	Eif-1a	K03236
Dmel_CG9177	Eif5	K03262
Dmel_CG4153	Eif-2beta	K03238
Dmel_CG10840	Eif5b	K03243
Dmel_CG10811	Eif4g	K03260
Dmel_CG3845	Nat1	K03260
Dmel_CG10124	Eif4e-4	K03259
Dmel_CG1442	Eif4e-6	K03259
Dmel_CG33100	4ehP	K03259
Dmel_CG4035	Eif-4e	K03259
Dmel_CG8023	Eif4e-3	K03259
Dmel_CG9075	Eif-4a	K03257
Dmel_CG10837	Eif-4b	K03258
Dmel_CG9765	TacC	K14283
Dmel_CG8781	Tsu	K12876
Dmel_CG9401	MagO	K12877
Dmel_CG12878	Btz	K14323
Dmel_CG7483	Eif4aiii	K13025
Dmel_CG6046	Bin1	K14324
Dmel_CG10473	Hkl	K12875
Dmel_CG16788	RnpS1	K14325
Dmel_CG1101	Aly	K12881
Dmel_CG7269	Hel25e	K12812
Dmel_CG2031	Hpr1	K12878
Dmel_CG31671	Tho2	K12879
Dmel_CG2980	ThoC5	K13174
Dmel_CG5632	ThoC6	K13175
Dmel_CG17143	ThoC7	K13176
Dmel_CG9615	Tex	K12880
Dmel_CG11274	Srm160	K13171
Dmel_CG1664	Sbr	K14284
Dmel_CG12752	Nxt1	K14285
Dmel_CG1559	Upf1	K14326
Dmel_CG2253	Upf2	K14327
Dmel_CG11184	Upf3	K14328
Dmel_CG4659	Srp54k	K03106
Dmel_CG10130	Sec61beta	K09481
Dmel_CG4758	Trp1	K12275
Dmel_CG8583	Sec63	K09540
Dmel_CG4147	Hsc70-3	K09490
Dmel_CG8268	Srp9	K03109
Dmel_CG5417	Srp14	K03104
Dmel_CG5434	Srp72	K03108
Dmel_CG5064	Srp68	K03107
Dmel_CG4457	Srp19	K03105
Dmel_CG2522	Gtp-bp	K13431
Dmel_CG33162	SrpRbeta	K12272
Dmel_CG11500	SpaSe12	K12946
Dmel_CG1751	SpaSe25	K12947
Dmel_CG10130	Sec61beta	K09481
Dmel_CG4758	Trp1	K12275
Dmel_CG8583	Sec63	K09540
Dmel_CG9022	Ost48	K12670
Dmel_CG7748	OstStt3	K07151
Dmel_CG4147	Hsc70-3	K09490
Dmel_CG8286	P58Ipk	K09523
Dmel_CG5520	Gp93	K09487
Dmel_CG11958	Cnx99a	K08054
Dmel_CG8983	Erp60	K08056
Dmel_CG9429	Crc	K08057
Dmel_CG6822	ErgIc53	K10080
Dmel_CG7073	Sar1	K07953
Dmel_CG6773	Sec13	K14004
Dmel_CG8266	Sec31	K14005
Dmel_CG1250	Sec23	K14006
Dmel_CG1472	Sec24	K14007
Dmel_CG6850	Ugt	K11718
Dmel_CG3810	EdeM1	K10085
Dmel_CG5682	EdeM2	K10086
Dmel_CG6988	Pdi	K09580
Dmel_CG5809	CabP1	K09584
Dmel_CG7225	Wbl	K09586
Dmel_CG32701	L(1)g0320	K13249
Dmel_CG5474	SsrBeta	K13250
Dmel_CG9035	TapDelta	K04571
Dmel_CG11642	TraM	K14010
Dmel_CG5469	GinT3	K14011
Dmel_CG11139	P47	K14012
Dmel_CG2331	Ter94	K13525
Dmel_CG6233	Ufd1-like	K14016
Dmel_CG18743	Hsp70ab	K03283
Dmel_CG31359	Hsp70bb	K03283
Dmel_CG31366	Hsp70aa	K03283
Dmel_CG31449	Hsp70ba	K03283
Dmel_CG4264	Hsc70-4	K03283
Dmel_CG5436	Hsp68	K03283
Dmel_CG5834	Hsp70bbb	K03283
Dmel_CG6489	Hsp70bc	K03283
Dmel_CG7756	Hsc70-2	K03283
Dmel_CG8937	Hsc70-1	K03283
Dmel_CG8863	DroJ2	K09502
Dmel_CG6395	Csp	K09525
Dmel_CG1242	Hsp83	K04079
Dmel_CG6603	Hsc70cb	K09485
Dmel_CG4533	L(2)efl	K09542
Dmel_CG5105	PlaP	K14018
Dmel_CG1836	Rad23	K10839
Dmel_CG14224	UbqN	K04523
Dmel_CG7865	PngAse	K01456
Dmel_CG1609	Gcn2	K08860
Dmel_CG2087	Pek	K08860
Dmel_CG3136	Atf6	K09054
Dmel_CG4917	Wfs1	K14020
Dmel_CG7169	S1p	K08653
Dmel_CG8988	S2p	K07765
Dmel_CG9415	Xbp1	K09027
Dmel_CG4583	Ire-1	K08852
Dmel_CG4720	Pk92b	K04426
Dmel_CG4353	Hep	K04431
Dmel_CG5680	Bsk	K04440
Dmel_CG4443	Crl	K04555
Dmel_CG1937	Sip3	K10601
Dmel_CG5203	ChiP	K09561
Dmel_CG15437	MorGue	K06689
Dmel_CG6720	UbcD2	K06689
Dmel_CG7425	Eff	K06689
Dmel_CG10523	ParK	K04556
Dmel_CG16982	Roc1a	K03868
Dmel_CG16988	Roc1b	K03868
Dmel_CG1877	Lin19	K03347
Dmel_CG11941	SkpC	K03094
Dmel_CG11942	SkpE	K03094
Dmel_CG12227	SkpF	K03094
Dmel_CG12700	SkpD	K03094
Dmel_CG16983	SkpA	K03094
Dmel_CG8881	SkpB	K03094
Dmel_CG31136	Syx1a	K04560
Dmel_CG2715	Syx4	K08486
Dmel_CG5081	Syx7	K08488
Dmel_CG1467	Syx16	K08489
Dmel_CG4214	Syx5	K08490
Dmel_CG7452	Syx17	K08491
Dmel_CG13626	Syx18	K08492
Dmel_CG31232	KokO	K08493
Dmel_CG3279	Vti1	K08493
Dmel_CG7700	Gos28	K08495
Dmel_CG4780	MemBrin	K08496
Dmel_CG7736	Syx6	K08498
Dmel_CG4109	Syx8	K08501
Dmel_CG14084	Bet1	K08504
Dmel_CG14181	Use1	K08507
Dmel_CG40452	SnaP25	K08508
Dmel_CG9474	SnaP24	K08508
Dmel_CG11173	UsnP	K08509
Dmel_CG17248	N-sYb	K13504
Dmel_CG1515	Ykt6	K08516
Dmel_CG7359	Sec22	K08517
Dmel_CG1782	Uba1	K03178
Dmel_CG12276	Aos1	K10684
Dmel_CG7528	Uba2	K10685
Dmel_CG2013	UbcD6	K10573
Dmel_CG10682	Vih	K06688
Dmel_CG15437	MorGue	K06689
Dmel_CG6720	UbcD2	K06689
Dmel_CG7425	Eff	K06689
Dmel_CG4443	Crl	K04555
Dmel_CG2257	Ubc-e2h	K10576
Dmel_CG3018	Lwr	K10577
Dmel_CG12799	Ubc84d	K04552
Dmel_CG5788	UbcD10	K04552
Dmel_CG18319	Ben	K10580
Dmel_CG8284	UbcD4	K04649
Dmel_CG6303	BruCe	K10586
Dmel_CG6190	As	K10587
Dmel_CG4943	LacK	K04678
Dmel_CG4244	Su(Dx)	K05633
Dmel_CG42279	NedD4	K10591
Dmel_CG9484	Hyd	K10593
Dmel_CG11734	HerC2	K10595
Dmel_CG5203	ChiP	K09561
Dmel_CG5519	Prp19	K10599
Dmel_CG7037	Cbl	K04707
Dmel_CG10523	ParK	K04556
Dmel_CG13030	SinAh	K04506
Dmel_CG9949	SinA	K04506
Dmel_CG10961	TraF6	K03175
Dmel_CG12284	Th	K04725
Dmel_CG8293	Iap2	K04725
Dmel_CG1937	Sip3	K10601
Dmel_CG12812	FanCl	K10606
Dmel_CG16982	Roc1a	K03868
Dmel_CG16988	Roc1b	K03868
Dmel_CG1877	Lin19	K03347
Dmel_CG11941	SkpC	K03094
Dmel_CG11942	SkpE	K03094
Dmel_CG12227	SkpF	K03094
Dmel_CG12700	SkpD	K03094
Dmel_CG16983	SkpA	K03094
Dmel_CG8881	SkpB	K03094
Dmel_CG3412	SlmB	K03362
Dmel_CG15010	Ago	K10260
Dmel_CG1512	Cul-2	K03870
Dmel_CG9291	EloNgin-c	K03872
Dmel_CG4204	EloNgin-b	K03873
Dmel_CG13221	Vhl	K03871
Dmel_CG42616	Cul-3	K03869
Dmel_CG3962	KeaP1	K10456
Dmel_CG5701	RhoBtb	K07868
Dmel_CG8711	Cul-4	K10609
Dmel_CG7769	Pic	K10610
Dmel_CG6093	Abo	K10571
Dmel_CG8998	Roc2	K10611
Dmel_CG1401	Cul-5	K10612
Dmel_CG34440	Lmg	K03358
Dmel_CG3060	Mr	K03349
Dmel_CG4274	Fzy	K03363
Dmel_CG16783	Fzr2	K03364
Dmel_CG3000	Rap	K03364
Dmel_CG9198	ShtD	K03348
Dmel_CG8610	Cdc27	K03350
Dmel_CG32707	Apc4	K03351
Dmel_CG10850	Ida	K03352
Dmel_CG6759	Cdc16	K03353
Dmel_CG14444	Apc7	K03354
Dmel_CG2508	Cdc23	K03355
Dmel_CG10238	MocS2	K03635
Dmel_CG33048	MocS1	K03639
Dmel_CG42641	Rpn3	K03033
Dmel_CG1100	Rpn5	K03035
Dmel_CG10149	Rpn6	K03036
Dmel_CG5378	Rpn7	K03037
Dmel_CG3416	Mov34	K03038
Dmel_CG10230	Rpn9	K03039
Dmel_CG18174	Rpn11	K03030
Dmel_CG11552	Rpn12r	K03031
Dmel_CG4157	Rpn12	K03031
Dmel_CG7619	ProS54	K03029
Dmel_CG7762	Rpn1	K03028
Dmel_CG11888	Rpn2	K03032
Dmel_CG1341	Rpt1	K03061
Dmel_CG5289	ProS26.4	K03062
Dmel_CG1489	ProS45	K03066
Dmel_CG2241	Rpt6r	K03066
Dmel_CG3455	Rpt4	K03064
Dmel_CG7257	Rpt4r	K03064
Dmel_CG10370	Tbp-1	K03065
Dmel_CG16916	Rpt3	K03063
Dmel_CG9475	Rpt3r	K03063
Dmel_CG1591	Reg	K06698
Dmel_CG5266	ProS25	K02726
Dmel_CG9327	ProS29	K02728
Dmel_CG17268	ProS28.1a	K02731
Dmel_CG3422	ProS28.1	K02731
Dmel_CG4569	ProS28.1b	K02731
Dmel_CG4904	ProS35	K02725
Dmel_CG8392	ProSbeta1	K02738
Dmel_CG3329	ProSbeta2	K02739
Dmel_CG11981	ProSbeta3	K02735
Dmel_CG12323	ProSbeta5	K02737
Dmel_CG4097	ProS26	K02732
Dmel_CG12000	ProSbeta7	K02736
Dmel_CG9324	PomP	K11599
Dmel_CG6249	Csl4	K07573
Dmel_CG3931	Rrp4	K03679
Dmel_CG31938	Rrp40	K03681
Dmel_CG6413	Dis3	K12585
Dmel_CG8395	Rrp42	K12589
Dmel_CG15481	Ski6	K11600
Dmel_CG4043	Rrp46	K12590
Dmel_CG9606	Rrp45	K03678
Dmel_CG7292	Rrp6	K12591
Dmel_CG9250	Mpp6	K12593
Dmel_CG11265	Trf4-1	K03514
Dmel_CG17462	Trf4-2	K03514
Dmel_CG4152	L(2)35df	K12598
Dmel_CG10210	Tst	K12599
Dmel_CG31137	TwiN	K12603
Dmel_CG34407	Not1	K12604
Dmel_CG2161	Rga	K12605
Dmel_CG8426	L(2)nc136	K12580
Dmel_CG5684	Pop2	K12581
Dmel_CG11183	Dcp1	K12611
