Q09161	NcbP1	K12882
Q5QJU3	AceR2	K01441
Q9NUN7	AceR3	K04711
Q6QHC5	DegS2	K04712
O15121	DegS1	K04712
Q8NHU3	SgmS2	K04714
Q86VZ5	SgmS1	K04714
D3DWC4	SgmS1	K04714
E9PKS3	SmpD1	K12350
P17405	SmpD1	K12350
Q59EN6	SmpD1	K12350
O60906	SmpD2	K12351
Q9NY59	SmpD3	K12352
A8K0T6	SmpD3	K12352
B1PBA3	SmpD4	K12353
E7ESA2	SmpD4	K12353
Q9NXE4	SmpD4	K12353
B4DRB8	SmpD4	K12353
Q6UWV6	EnpP7	K12354
Q8TCT0	CerK	K04715
O14494	PpaP2a	K01080
E9PAY8	PpaP2c	K01080
O43688	PpaP2c	K01080
O14495	PpaP2b	K01080
Q9BX95	SgpP1	K04716
Q8IWX5	SgpP2	K04717
Q9NRA0	SphK2	K04718
B3KV83	SphK2	K04718
B4DU87	SphK2	K04718
Q96GK1	SphK1	K04718
Q53ZR5	SphK1	K04718
Q9NYA1	SphK1	K04718
O95470	SgpL1	K01634
Q16739	UgcG	K00720
B7Z6S1	Gba	K01201
P04062	Gba	K01201
B7Z5G2	Gba	K01201
B7Z6S9	Gba	K01201
Q9UBX8	B4gAlt6	K07553
P16278	Glb1	K12309
Q16880	Ugt8	K04628
E7EPA4	GalC	K01202
P54803	GalC	K01202
Q99999	Gal3st1	K01019
F8WCC8	ArsA	K01134
P15289	ArsA	K01134
B4DVI5	ArsA	K01134
B7XD04	ArsA	K01134
Q99519	Neu1	K01186
Q5JQI0	Neu1	K01186
A8K327	Neu3	K12357
Q8WWR8	Neu4	K12357
B3KR54	Neu4	K12357
Q9Y3R4	Neu2	K12357
P06280	Gla	K01189
Q53Y83	Gla	K01189
P0C869	Pla2g4b	K01047
B7WPN2	Pla2g4e	K01047
Q3MJ16	Pla2g4e	K01047
Q9UNK4	Pla2g2d	K01047
Q9NZK7	Pla2g2e	K01047
Q9NZ20	Pla2g3	K01047
P04054	Pla2g1b	K01047
P14555	Pla2g2a	K01047
P47712	Pla2g4a	K01047
P39877	Pla2g5	K01047
Q9BZM2	Pla2g2f	K01047
Q9BZM1	Pla2g12a	K01047
Q542Y6	Pla2g12a	K01047
O60733	Pla2g6	K01047
A8K460	Pla2g6	K01047
O15496	Pla2g10	K01047
Q9BX93	Pla2g12b	K01047
P18054	AloX12	K00458
O75342	AloX12b	K08021
P16050	AloX15	K00460
P59796	Gpx6	K00432
P07203	Gpx1	K00432
P18283	Gpx2	K00432
P22352	Gpx3	K00432
A1A4Y0	Gpx5	K00432
O75715	Gpx5	K00432
Q96SL4	Gpx7	K00432
P33261	Cyp2c19	K07413
P10632	Cyp2c8	K07413
B7Z1F6	Cyp2c8	K07413
B7Z1F5	Cyp2c8	K07413
Q5VX92	Cyp2c9	K07413
P11712	Cyp2c9	K07413
P33260	Cyp2c18	K07413
Q7Z348	Cyp2c18	K07413
Q4VAT5	Cyp2c18	K07413
P51589	Cyp2j2	K07418
P09917	AloX5	K00461
Q16873	Ltc4s	K00807
Q6P531	Ggt6	K00681
Q6ZPD7	Ggt6	K00681
P19440	Ggt1	K00681
A0PJJ9	Ggt7	K00681
Q9UJ14	Ggt7	K00681
Q6GMP0	Ggt5	K00681
P36269	Ggt5	K00681
Q53XM9	Ggt5	K00681
P09960	Lta4h	K01254
B7Z8Z3	Cyp4f3	K00490
Q08477	Cyp4f3	K00490
P78329	Cyp4f2	K00490
P23219	PtgS1	K00509
P35354	PtgS2	K11987
O60760	HpgDs	K01830
P41222	PtgDs	K01830
P42330	Akr1c3	K00089
Q16647	PtgIs	K01831
Q96CN2	TbxAs1	K01832
Q53F23	TbxAs1	K01832
B4DJG6	TbxAs1	K01832
P24557	TbxAs1	K01832
Q16843	TbxAs1	K01832
Q9H7Z7	PtgEs2	K05309
O14684	PtgEs	K05309
P16152	Cbr1	K00079
O75828	Cbr3	K00079
O15296	AloX15b	K08022
P05181	Cyp2e1	K07415
Q7Z449	Cyp2u1	K07422
Q02928	Cyp4a11	K07425
Q5TCH4	Cyp4a22	K07425
P20813	Cyp2b6	K07412
P34913	EphX2	K08726
P0C869	Pla2g4b	K01047
B7WPN2	Pla2g4e	K01047
Q3MJ16	Pla2g4e	K01047
Q9UNK4	Pla2g2d	K01047
Q9NZK7	Pla2g2e	K01047
Q9NZ20	Pla2g3	K01047
P04054	Pla2g1b	K01047
P14555	Pla2g2a	K01047
P47712	Pla2g4a	K01047
P39877	Pla2g5	K01047
Q9BZM2	Pla2g2f	K01047
Q9BZM1	Pla2g12a	K01047
Q542Y6	Pla2g12a	K01047
O60733	Pla2g6	K01047
A8K460	Pla2g6	K01047
O15496	Pla2g10	K01047
Q9BX93	Pla2g12b	K01047
P16050	AloX15	K00460
O60218	Akr1b10	K00100
P05177	Cyp1a2	K07409
P33261	Cyp2c19	K07413
P10632	Cyp2c8	K07413
B7Z1F6	Cyp2c8	K07413
B7Z1F5	Cyp2c8	K07413
Q5VX92	Cyp2c9	K07413
P11712	Cyp2c9	K07413
P33260	Cyp2c18	K07413
Q7Z348	Cyp2c18	K07413
Q4VAT5	Cyp2c18	K07413
P51589	Cyp2j2	K07418
P05181	Cyp2e1	K07415
P24462	Cyp3a7	K07424
Q6GRK0	Cyp3a4	K07424
P08684	Cyp3a4	K07424
Q7Z3N0	Cyp3a5	K07424
P20815	Cyp3a5	K07424
B7Z5I7	Cyp3a5	K07424
Q9HB55	Cyp3a43	K07424
Q75MK2	Cyp3a43	K07424
Q75MK3	Cyp3a43	K07424
P0C869	Pla2g4b	K01047
B7WPN2	Pla2g4e	K01047
Q3MJ16	Pla2g4e	K01047
Q9UNK4	Pla2g2d	K01047
Q9NZK7	Pla2g2e	K01047
Q9NZ20	Pla2g3	K01047
P04054	Pla2g1b	K01047
P14555	Pla2g2a	K01047
P47712	Pla2g4a	K01047
P39877	Pla2g5	K01047
Q9BZM2	Pla2g2f	K01047
Q9BZM1	Pla2g12a	K01047
Q542Y6	Pla2g12a	K01047
O60733	Pla2g6	K01047
A8K460	Pla2g6	K01047
O15496	Pla2g10	K01047
Q9BX93	Pla2g12b	K01047
O95864	FadS2	K10226
A8KAA0	AcoX1	K00232
F5GYQ8	AcoX1	K00232
Q15067	AcoX1	K00232
B4DK61	AcoX1	K00232
O15254	AcoX3	K00232
Q9H5J4	EloVl6	K10203
Q53GQ0	Hsd17b12	K00044
Q9BY49	PecR	K07753
Q6Y1H2	PtpLb	K10703
B0YJ81	PtpLa	K10703
Q9NZ01	TecR	K10258
O00767	Scd	K00507
Q86SK9	Scd5	K00507
Q86UC8	Scd5	K00507
O95864	FadS2	K10226
F6SH78	EloVl5	K10244
Q5TGH5	EloVl5	K10244
Q9NYP7	EloVl5	K10244
B4DZJ2	EloVl5	K10244
O60427	FadS1	K10224
Q9NXB9	EloVl2	K10205
A8KAA0	AcoX1	K00232
F5GYQ8	AcoX1	K00232
Q15067	AcoX1	K00232
B4DK61	AcoX1	K00232
O15254	AcoX3	K00232
P40939	HadHa	K07515
E9KL44	HadHa	K07515
P09110	AcaA1	K07513
Q96CA6	AcaA1	K07513
P49753	AcoT2	K01068
O00154	AcoT7	K01068
Q8N9L9	AcoT4	K01068
Q86TX2	AcoT1	K01068
E9KL42	AcoT1	K01068
Q14032	BaaT	K00659
Q9BW91	NudT9	K13988
Q96KB3	NudT9	K13988
Q8NG26	NudT9	K13988
Q3LIE5	C17Orf48	K01517
Q9UKK9	NudT5	K13987
B4DPV0	Pgm1	K01835
B7Z6C2	Pgm1	K01835
P36871	Pgm1	K01835
B4DDQ8	Pgm1	K01835
Q96G03	Pgm2	K01835
P21108	PrpS1l1	K00948
B7ZB02	PrpS1	K00948
P60891	PrpS1	K00948
P11908	PrpS2	K00948
Q06203	PpaT	K00764
A8K4H7	PpaT	K00764
Q59G63	PpaT	K00764
Q59HH3	GarT	K11787
P22102	GarT	K11787
A8K9T9	PfaS	K01952
O15067	PfaS	K01952
Q6P4B4	PfaS	K01952
P22234	PaiCs	K01587
P30566	AdsL	K01756
P31939	AtiC	K00602
P07741	AprT	K00759
P49902	Nt5C2	K01081
A8K6K2	Nt5C2	K01081
Q8TCD5	Nt5C	K01081
Q6NZX3	Nt5E	K01081
P21589	Nt5E	K01081
B3KQI8	Nt5E	K01081
Q9H0P0	Nt5C3	K01081
Q9NPB1	Nt5M	K01081
Q9BXI3	Nt5C1a	K01081
E7EXB7	Nt5C1b	K01081
B4DXZ9	Nt5C1b	K01081
Q96P26	Nt5C1b	K01081
B4DZ86	Nt5C1b	K01081
B3KUK6	Nt5C1b	K01081
P00491	Pnp	K03783
P00492	HprT1	K00760
B3KRZ3	ImpDh1	K00088
B3KVM8	ImpDh1	K00088
P20839	ImpDh1	K00088
B4DE09	ImpDh1	K00088
C9JV30	ImpDh1	K00088
A4D0Z6	ImpDh1	K00088
P12268	ImpDh2	K00088
O75414	Nme6	K00940
Q9Y5B8	Nme7	K00940
P15531	Nme1	K00940
P22392	Nme2	K00940
Q6FHN3	Nme2	K00940
Q13232	Nme3	K00940
O00746	Nme4	K00940
P22392	Nme1-nme2	K00940
P56597	Nme5	K00940
Q5MY95	EntPd8	K01510
P49961	EntPd1	K01510
B7Z599	EntPd1	K01510
Q86VV3	EntPd1	K01510
B4DWB9	EntPd1	K01510
O75355	EntPd3	K01510
Q8WVQ1	CanT1	K12304
Q9Y227	EntPd4	K12305
O75354	EntPd6	K01511
O75356	EntPd5	K01511
B2BCH7	ItpA	K01519
Q9BY32	ItpA	K01519
P47989	Xdh	K00106
P50583	NudT2	K01518
A8K639	GmpS	K01951
P49915	GmpS	K01951
P36959	GmpR	K00364
Q9P2T1	GmpR2	K00364
Q86T14	GmpR2	K00364
Q9Y2T3	Gda	K01487
B4DTY5	Gda	K01487
Q16774	Guk1	K00942
B1ANH1	Guk1	K00942
B4E1H6	Guk1	K00942
Q6IBG8	Guk1	K00942
B4DUU6	Pkm2	K00873
P14618	Pkm2	K00873
B4DNK4	Pkm2	K00873
P30613	PklR	K12406
P23921	Rrm1	K10807
B4E2N4	Rrm2b	K10808
Q7LG56	Rrm2b	K10808
P31350	Rrm2	K10808
Q16854	DguOk	K00904
E5KSL5	DguOk	K00904
E5KSL6	DguOk	K00904
O95602	PolR1a	K02999
Q9H6T2	PolR1a	K02999
Q9H9Y6	PolR1b	K03002
Q2L6J2	ZnrD1	K03000
Q9P1U0	ZnrD1	K03000
Q9GZS1	PolR1e	K03005
P24928	PolR2a	K03006
P30876	PolR2b	K03010
P19387	PolR2c	K03011
Q6FGR6	PolR2c	K03011
O15514	PolR2d	K03012
P19388	PolR2e	K03013
P61218	PolR2f	K03014
P62487	PolR2g	K03015
P52434	PolR2h	K03016
P36954	PolR2i	K03017
P62875	PolR2l	K03007
F6W009	PolR2j2	K03008
P52435	PolR2j	K03008
Q9GZM3	PolR2j3	K03008
P53803	PolR2k	K03009
O14802	PolR3a	K03018
F5H1E6	PolR3b	K03021
B3KV73	PolR3b	K03021
Q9NW08	PolR3b	K03021
Q7Z3R8	PolR3b	K03021
Q9BUI4	PolR3c	K03023
P05423	PolR3d	K03026
O15160	PolR1c	K03027
Q9Y2Y1	PolR3k	K03019
Q9Y2S0	PolR1d	K03020
Q6ZPA8	PolR3h	K03022
Q9Y535	PolR3h	K03022
O15318	PolR3g	K03024
Q9BT43	PolR3gl	K03024
Q9H1D9	PolR3f	K03025
P09884	PolA1	K02320
Q14181	PolA2	K02321
P49642	PriM1	K02684
P49643	PriM2	K02685
P28340	PolD1	K02327
A4D2J4	PolD2	K02328
P49005	PolD2	K02328
B2R5S4	PolD2	K02328
Q15054	PolD3	K03504
Q6NSD7	PolD4	K03505
Q9HCU8	PolD4	K03505
Q9BVB1	PolD4	K03505
Q07864	PolE	K02324
P56282	PolE2	K02325
B4DDE6	PolE2	K02325
A4FU92	PolE2	K02325
Q9NRF9	PolE3	K02326
Q9NR33	PolE4	K03506
Q86TP1	PruNe	K01514
Q08828	AdcY1	K08041
Q59FG4	AdcY1	K08041
Q8NFM5	AdcY1	K08041
Q71UM8	AdcY2	K08042
Q08462	AdcY2	K08042
O60266	AdcY3	K08043
B3KT86	AdcY3	K08043
Q86TZ7	AdcY4	K08044
Q8NFM4	AdcY4	K08044
B7Z8A6	AdcY5	K08045
O95622	AdcY5	K08045
B7Z2C7	AdcY5	K08045
O43306	AdcY6	K08046
P51828	AdcY7	K08047
P40145	AdcY8	K08048
Q4F7X0	AdcY8	K08048
O60503	AdcY9	K08049
Q96PN6	AdcY10	K11265
F5GWS5	AdcY10	K11265
B4DZF0	AdcY10	K11265
P33402	GucY1a2	K12318
Q02108	GucY1a3	K12318
B3KU69	GucY1a3	K12318
D6RDW3	GucY1a3	K12318
Q02153	GucY1b3	K12319
P25092	GucY2c	K12320
P51841	GucY2f	K12321
Q02846	GucY2d	K12321
P16066	Npr1	K12323
P20594	Npr2	K12324
Q9Y233	Pde10a	K01120
Q9ULW9	Pde10a	K01120
Q9NP56	Pde7b	K01120
Q8IW54	Pde2a	K01120
O00408	Pde2a	K01120
E9PGI1	Pde2a	K01120
F6W5Z0	Pde2a	K01120
Q5J793	Pde2a	K01120
P27815	Pde4a	K01120
Q07343	Pde4b	K01120
Q5TEK6	Pde4b	K01120
Q5TEK5	Pde4b	K01120
Q5TEK4	Pde4b	K01120
Q59GM8	Pde4b	K01120
Q08493	Pde4c	K01120
Q7KYS4	Pde4c	K01120
O43849	Pde4c	K01120
Q32MM7	Pde4c	K01120
P78505	Pde4c	K01120
Q08499	Pde4d	K01120
Q13946	Pde7a	K01120
O60658	Pde8a	K01120
O95263	Pde8b	K01120
B3KN77	Pde8b	K01120
P54750	Pde1a	K13755
Q14123	Pde1c	K13755
Q8NB10	Pde1c	K13755
B3KSS6	Pde1c	K13755
E9PE92	Pde1c	K13755
Q7Z364	Pde1b	K13755
Q01064	Pde1b	K13755
Q14432	Pde3a	K13296
A7E2E5	Pde3b	K13296
Q13370	Pde3b	K13296
O76074	Pde5a	K13762
P16499	Pde6a	K08718
P35913	Pde6b	K13756
B4DHV7	Pde6b	K13756
B7Z9T9	Pde6b	K13756
P51160	Pde6c	K13757
Q6IB24	Pde6d	K13758
O43924	Pde6d	K13758
P18545	Pde6g	K13759
Q13956	Pde6h	K13760
O76083	Pde9a	K13761
Q9HCR9	Pde11a	K13298
Q8N142	AdsSl1	K01939
B3KTV4	AdsSl1	K01939
P30520	AdsS	K01939
B2RAM1	AmpD1	K01490
P23109	AmpD1	K01490
F2Z3B3	AmpD1	K01490
Q5TF02	AmpD1	K01490
Q01433	AmpD2	K01490
A0AUX0	AmpD3	K01490
Q01432	AmpD3	K01490
B7Z2S2	AmpD3	K01490
B7Z763	AmpD3	K01490
P55263	Adk	K00856
Q5JQ10	Adk	K00856
B7Z783	Adk	K00856
B7Z800	Adk	K00856
P27707	Dck	K00893
F5CTF3	Dck	K00893
P00813	Ada	K01488
Q96M32	Ak7	K00939
Q6FGX9	Ak1	K00939
P00568	Ak1	K00939
P54819	Ak2	K00939
P27144	Ak4	K00939
Q9Y6K8	Ak5	K00939
Q9Y5L3	EntPd2	K01509
Q5SPY7	EntPd2	K01509
Q8TCS8	PnpT1	K00962
P49789	FhiT	K01522
Q45QG9	FhiT	K01522
A8K1A9	FhiT	K01522
O95340	PapSs2	K13811
Q5TB52	PapSs2	K13811
O43252	PapSs1	K13811
Q6IAX6	PapSs1	K13811
P22413	EnpP1	K01513
O14638	EnpP3	K01513
Q308M7	EnpP3	K01513
A6NGE7	PrhOxnb	K13485
Q8N6M5	AllC	K01477
B4DY77	AllC	K01477
P27708	Cad	K11540
Q02127	DhoDh	K00254
P11172	UmpS	K13421
A8K5J1	UmpS	K13421
B2R6S5	CmpK1	K13800
E9PGI8	CmpK1	K13800
P30085	CmpK1	K13800
Q5EBM0	CmpK2	K13809
Q7Z4Y4	Ak3	K00944
Q9HC01	Ak3	K00944
Q9UIJ7	Ak3	K00944
E7ET30	Ak3	K00944
B4DP58	Ak3	K00944
O75414	Nme6	K00940
Q9Y5B8	Nme7	K00940
P15531	Nme1	K00940
P22392	Nme2	K00940
Q6FHN3	Nme2	K00940
Q13232	Nme3	K00940
O00746	Nme4	K00940
P22392	Nme1-nme2	K00940
P56597	Nme5	K00940
Q8TCS8	PnpT1	K00962
Q5MY95	EntPd8	K01510
P49961	EntPd1	K01510
B7Z599	EntPd1	K01510
Q86VV3	EntPd1	K01510
B4DWB9	EntPd1	K01510
O75355	EntPd3	K01510
Q8WVQ1	CanT1	K12304
Q9Y227	EntPd4	K12305
O75354	EntPd6	K01511
O75356	EntPd5	K01511
B2BCH7	ItpA	K01519
Q9BY32	ItpA	K01519
P17812	CtpS	K01937
Q9NRF8	CtpS2	K01937
O95602	PolR1a	K02999
Q9H6T2	PolR1a	K02999
Q9H9Y6	PolR1b	K03002
Q2L6J2	ZnrD1	K03000
Q9P1U0	ZnrD1	K03000
Q9GZS1	PolR1e	K03005
P24928	PolR2a	K03006
P30876	PolR2b	K03010
P19387	PolR2c	K03011
Q6FGR6	PolR2c	K03011
O15514	PolR2d	K03012
P19388	PolR2e	K03013
P61218	PolR2f	K03014
P62487	PolR2g	K03015
P52434	PolR2h	K03016
P36954	PolR2i	K03017
P62875	PolR2l	K03007
F6W009	PolR2j2	K03008
P52435	PolR2j	K03008
Q9GZM3	PolR2j3	K03008
P53803	PolR2k	K03009
O14802	PolR3a	K03018
F5H1E6	PolR3b	K03021
B3KV73	PolR3b	K03021
Q9NW08	PolR3b	K03021
Q7Z3R8	PolR3b	K03021
Q9BUI4	PolR3c	K03023
P05423	PolR3d	K03026
O15160	PolR1c	K03027
Q9Y2Y1	PolR3k	K03019
Q9Y2S0	PolR1d	K03020
Q6ZPA8	PolR3h	K03022
Q9Y535	PolR3h	K03022
O15318	PolR3g	K03024
Q9BT43	PolR3gl	K03024
Q9H1D9	PolR3f	K03025
P09884	PolA1	K02320
Q14181	PolA2	K02321
P49642	PriM1	K02684
P49643	PriM2	K02685
P28340	PolD1	K02327
A4D2J4	PolD2	K02328
P49005	PolD2	K02328
B2R5S4	PolD2	K02328
Q15054	PolD3	K03504
Q6NSD7	PolD4	K03505
Q9HCU8	PolD4	K03505
Q9BVB1	PolD4	K03505
Q07864	PolE	K02324
P56282	PolE2	K02325
B4DDE6	PolE2	K02325
A4FU92	PolE2	K02325
Q9NRF9	PolE3	K02326
Q9NR33	PolE4	K03506
B7Z8N2	UckL1	K00876
Q53HM1	UckL1	K00876
Q9NWZ5	UckL1	K00876
Q9BZX2	Uck2	K00876
Q9HA47	Uck1	K00876
P49902	Nt5C2	K01081
A8K6K2	Nt5C2	K01081
Q8TCD5	Nt5C	K01081
Q6NZX3	Nt5E	K01081
P21589	Nt5E	K01081
B3KQI8	Nt5E	K01081
Q9H0P0	Nt5C3	K01081
Q9NPB1	Nt5M	K01081
Q9BXI3	Nt5C1a	K01081
E7EXB7	Nt5C1b	K01081
B4DXZ9	Nt5C1b	K01081
Q96P26	Nt5C1b	K01081
B4DZ86	Nt5C1b	K01081
B3KUK6	Nt5C1b	K01081
O95045	Upp2	K00757
Q16831	Upp1	K00757
Q96BW1	UprT	K00761
A8KAF9	UprT	K00761
Q96HL6	DpyD	K00207
Q12882	DpyD	K00207
Q14117	DpyS	K01464
Q9UBR1	Upb1	K01431
B3KNC1	Upb1	K01431
Q9NNW7	TxnRd2	K00384
Q86VQ6	TxnRd3	K00384
B4DRZ5	TxnRd3	K00384
Q16881	TxnRd1	K00384
P23921	Rrm1	K10807
B4E2N4	Rrm2b	K10808
Q7LG56	Rrm2b	K10808
P31350	Rrm2	K10808
P33316	Dut	K01520
P04818	TymS	K00560
Q53Y97	TymS	K00560
P32320	Cda	K01489
P19971	TymP	K00758
E5KRG5	TymP	K00758
B2RBL3	TymP	K00758
P00491	Pnp	K03783
P27707	Dck	K00893
F5CTF3	Dck	K00893
P32321	DctD	K01493
P04183	Tk1	K00857
B7ZAB1	Tk2	K00857
O00142	Tk2	K00857
Q8IZR3	Tk2	K00857
E9PH08	Tk2	K00857
B4E0Z4	Tk2	K00857
B4DIW4	Tk2	K00857
P23919	DtyMk	K00943
B7ZW70	DtyMk	K00943
Q6FGU2	DtyMk	K00943
Q53F55	DtyMk	K00943
P50583	NudT2	K01518
P17174	Got1	K00813
P00505	Got2	K00813
Q96RQ9	Il4I1	K03334
Q1WMJ3	Il4I1	K03334
Q99489	Ddo	K00272
E9PCI3	AsnS	K01953
P08243	AsnS	K01953
E9PCX6	AsnS	K01953
B4DXZ1	AsnS	K01953
Q9NQR4	Nit2	K13566
P24298	Gpt	K00814
Q8TD30	Gpt2	K00814
P21549	AgxT	K00830
Q9BYV1	AgxT2	K00827
Q5T6L4	Ass1	K01940
P00966	Ass1	K01940
P04424	Asl	K01755
E7EMI0	Asl	K01755
E9PE48	Asl	K01755
Q8N142	AdsSl1	K01939
B3KTV4	AdsSl1	K01939
P30520	AdsS	K01939
P30566	AdsL	K01756
P45381	AspA	K01437
Q6FH48	AspA	K01437
Q96HD9	Acy3	K01437
Q99259	Gad1	K01580
Q8IVA8	Gad1	K01580
Q5VZ30	Gad2	K01580
Q05329	Gad2	K01580
P80404	AbaT	K13524
P51649	AldH5a1	K00139
Q8N3W6	AldH5a1	K00139
Q546H9	AldH5a1	K00139
P00367	GluD1	K00261
E9KL48	GluD1	K00261
P49448	GluD2	K00261
B4DGE4	AldH4a1	K00294
P30038	AldH4a1	K00294
P15104	GluL	K01915
A8YXX4	GluL	K01915
P27708	Cad	K11540
Q9UI32	Gls2	K01425
O94925	Gls	K01425
B7ZAW0	Cps1	K01948
P31327	Cps1	K01948
Q53TL5	Cps1	K01948
Q59HF8	Cps1	K01948
Q6PEK7	Cps1	K01948
Q06210	GfpT1	K00820
O94808	GfpT2	K00820
Q06203	PpaT	K00764
A8K4H7	PpaT	K00764
Q59G63	PpaT	K00764
P34896	ShmT1	K00600
B4DJQ3	ShmT2	K00600
Q5BJF5	ShmT2	K00600
P34897	ShmT2	K00600
B7Z9F1	ShmT2	K00600
Q8N1A5	ShmT2	K00600
Q5HYG8	ShmT2	K00600
P78330	PspH	K01079
Q9Y617	PsaT1	K00831
O43175	PhgDh	K00058
Q8IVS8	GlyCtk	K00865
O75600	GcaT	K00639
A8K228	GcaT	K00639
Q6ZWF1	GcaT	K00639
E2QC23	GcaT	K00639
P13196	AlaS1	K00643
Q5JAM2	AlaS1	K00643
Q5JZF5	AlaS2	K00643
P22557	AlaS2	K00643
A8K6C4	AlaS2	K00643
A8K3F0	AlaS2	K00643
P21397	MaoA	K00274
Q53YE7	MaoA	K00274
P27338	MaoB	K00274
O75106	Aoc2	K00276
Q16853	Aoc3	K00276
P23378	GldC	K00281
E9PBG1	Amt	K00605
Q96IG6	Amt	K00605
B4DJQ0	Amt	K00605
P48728	Amt	K00605
B4DE61	Amt	K00605
P09622	Dld	K00382
P14920	Dao	K00273
P21549	AgxT	K00830
Q9BYV1	AgxT2	K00827
P50440	GatM	K00613
Q14353	GamT	K00542
A8K0A0	GamT	K00542
Q8NE62	ChdH	K00108
E7EPT3	AldH7a1	K14085
P49419	AldH7a1	K14085
B4DMA0	AldH7a1	K14085
Q93088	BhmT	K00544
Q9UI17	DmgDh	K00315
B3KQ84	DmgDh	K00315
Q9P0Z9	PipOx	K00306
Q9UL12	SarDh	K00314
A8K596	SarDh	K00314
Q14749	GnmT	K00552
P35520	Cbs	K01697
Q9NTF0	Cbs	K01697
B4E1R2	Cth	K01758
P32929	Cth	K01758
E9PDV0	Cth	K01758
P20132	Sds	K01752
Q8WW81	Sds	K01752
Q9GZT4	Srr	K12235
B4E1R2	Cth	K01758
P32929	Cth	K01758
E9PDV0	Cth	K01758
Q93088	BhmT	K00544
Q99707	Mtr	K00548
Q9NZL9	Mat2b	K00789
Q00266	Mat1a	K00789
P31153	Mat2a	K00789
P17707	Amd1	K01611
Q5VXN4	Amd1	K01611
P19623	Srm	K00797
P52788	Sms	K00802
Q13126	MtaP	K00772
Q9BV20	Mri1	K08963
Q96GX9	ApiP	K08964
Q9UHY7	EnoPh1	K09880
Q9BV57	Adi1	K08967
P17735	Tat	K00815
Q96RQ9	Il4I1	K03334
Q1WMJ3	Il4I1	K03334
P26358	DnmT1	K00558
O14717	TrdMt1	K00558
Q6ICS7	TrdMt1	K00558
Q8WVA9	DnmT3a	K00558
Q9Y6K1	DnmT3a	K00558
E9PEB8	DnmT3a	K00558
E7EN63	DnmT3b	K00558
B4DSU1	DnmT3b	K00558
E9PBF2	DnmT3b	K00558
Q9UBC3	DnmT3b	K00558
B4DSM8	DnmT3b	K00558
Q9UJW3	DnmT3l	K00558
O43865	AhcYl1	K01251
B4E168	AhcYl1	K01251
B3KUN3	AhcY	K01251
P23526	AhcY	K01251
F5H737	AhcY	K01251
Q96HN2	AhcYl2	K01251
D9N155	AhcYl2	K01251
B4DIZ5	AhcYl2	K01251
P35520	Cbs	K01697
Q9NTF0	Cbs	K01697
Q16878	Cdo1	K00456
P17174	Got1	K00813
P00505	Got2	K00813
Q6FHN9	MpsT	K01011
P25325	MpsT	K01011
Q16762	Tst	K01011
Q6ZMR3	LdhAl6a	K00016
B4DKQ2	LdhA	K00016
P00338	LdhA	K00016
A8MXQ4	LdhA	K00016
B7Z5E3	LdhA	K00016
F8W819	LdhA	K00016
Q5U077	LdhB	K00016
P07195	LdhB	K00016
P07864	LdhC	K00016
Q9BYZ2	LdhAl6b	K00016
P20132	Sds	K01752
Q8WW81	Sds	K01752
F5H5E4	BcaT1	K00826
B7Z5L0	BcaT1	K00826
P54687	BcaT1	K00826
Q68DQ7	BcaT1	K00826
B3KY27	BcaT1	K00826
B7Z2M5	BcaT1	K00826
O15382	BcaT2	K00826
Q96RQ9	Il4I1	K03334
Q1WMJ3	Il4I1	K03334
B4DP47	BckDha	K00166
P12694	BckDha	K00166
Q59EI3	BckDha	K00166
P21953	BckDhb	K00167
Q9BQL0	BckDhb	K00167
P11182	Dbt	K09699
P09622	Dld	K00382
P16219	AcaDs	K00248
E5KSD5	AcaDs	K00248
P11310	AcaDm	K00249
P26440	Ivd	K00253
B3KVI7	Ivd	K00253
P45954	AcaDsb	K09478
Q5SQN6	AcaDsb	K09478
Q6ZWP6	AcaD8	K11538
Q9UKU7	AcaD8	K11538
P40939	HadHa	K07515
E9KL44	HadHa	K07515
Q08426	EhhAdh	K07514
B4DWG3	EhhAdh	K07514
P30084	EchS1	K07511
Q16836	HadH	K00022
Q6IBS9	Hsd17b10	K08683
Q99714	Hsd17b10	K08683
P09110	AcaA1	K07513
Q96CA6	AcaA1	K07513
B3KNP8	AcaA2	K07508
P42765	AcaA2	K07508
P55084	HadHb	K07509
B4DPF9	PccA	K01965
P05165	PccA	K01965
C9JPQ8	PccA	K01965
B7Z2Z4	PccB	K01966
P05166	PccB	K01966
Q96PE7	MceE	K05606
B2R6K1	Mut	K01847
P22033	Mut	K01847
Q6NVY1	HibCh	K05605
P31937	HibAdh	K00020
Q546Z2	HibAdh	K00020
Q02252	AldH6a1	K00140
P05091	AldH2	K00128
B4DW54	AldH2	K00128
E7EUE5	AldH2	K00128
P30837	AldH1b1	K00128
P51648	AldH3a2	K00128
Q6I9T3	AldH3a2	K00128
E7EPT3	AldH7a1	K14085
P49419	AldH7a1	K14085
B4DMA0	AldH7a1	K14085
B9EKV4	AldH9a1	K00149
P49189	AldH9a1	K00149
Q06278	Aox1	K00157
P80404	AbaT	K13524
Q96RQ3	MccC1	K01968
Q9HCC0	MccC2	K01969
Q13825	Auh	K05607
P35914	HmgCl	K01640
B4DUP4	HmgCl	K01640
Q6IBC0	HmgCl	K01640
P55809	OxcT1	K01027
Q9BYC2	OxcT2	K01027
P24752	AcaT1	K00626
